,taxonomy_id,Perct,Reads,Specific_reads,Level,Taxa_names,species,Kingdom,Gram+/-,zscore,菌属中文名,菌种中文名,名词解释
42,1491,4.93883849197239E-05,37,37,S,Clostridium botulinum,Clostridium botulinum,Bacteria,G+,,梭菌属,肉毒梭菌,梭菌属主要致病菌种之一，主要存在于土壤中，革兰阳性，严格厌氧。该菌在厌氧环境下可产生剧烈的神经外毒素——肉毒毒素，该毒素是目前已知的最剧烈的毒物，可作用于外周胆碱能神经，抑制神经肌肉接点处神经介质乙酰胆碱的释放，导致弛缓性麻痹。该菌主要导致人类食物中毒，主要通过食用了被该菌或肉毒毒素污染的食物（主要为发酵豆制品），引起单纯性毒素中毒，而非细菌感染，中毒后胃肠道症状少见，主要为神经末梢麻痹，先有不典型的乏力，头痛，接着出现复视，斜视，眼睑下垂等眼肌麻痹症状，再是吞咽，咀嚼困难，口干，口齿不清等咽部肌肉麻痹症状，进而膈肌麻痹，呼吸困难，直至呼吸停止致死，很少见肢体麻痹；该菌还可导致婴儿肉毒病，1岁以下，特别是6个月内的婴儿常见，症状为便闭和吮吸，啼哭无力，死亡率不高（1%02%）；若创口被感染，在局部的厌氧环境中释放出肉毒毒素也可导致机体致病。防治主要是加强食品卫生管理和监督，80℃加热食品20分钟可破坏毒素。对患者需根据症状尽早作出诊断，迅速注射A，B，E三型多价抗毒素，同时加强护理，维持呼吸功能，可显著降低死亡率。
43,1542,1.73526757826057E-05,13,13,S,Clostridium novyi,Clostridium novyi,Bacteria,G+,,梭菌属,诺维氏梭状芽孢杆菌,0
44,1584,7.07455243444693E-05,53,53,S,Lactobacillus delbrueckii,Lactobacillus delbrueckii,Bacteria,G+,,乳杆菌属,德氏乳杆菌,革兰氏阳性，摄入乳糖，产生乳酸。不能自主运动，不产生孢子。应用于酸奶制作。可能导致罕见的泌尿道感染。
45,1590,4.00446364213977E-05,30,30,S,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,Bacteria,NA,,NA,NA,NA
46,1613,2.53616030668852E-05,19,19,S,Limosilactobacillus fermentum,Limosilactobacillus fermentum,Bacteria,NA,,NA,NA,NA
47,1639,6.14017758461432E-05,46,46,S,Listeria monocytogenes,Listeria monocytogenes,Bacteria,G+,,李斯特菌属,单核细胞增生李斯特氏菌,是革兰氏阳性，兼性厌氧细菌，以食物为传染媒介，是人畜共患的最致命的食源性病原体之一。感染后主要表现为败血症，脑膜炎和单核细胞增多，脑脓肿和后脑膜炎，败血症，菌血症伴死产和早产，胃肠炎，心内膜炎，病灶感染是淋巴结炎，蜂窝组织炎，肺炎，骨髓炎，化脓性关节炎，结膜炎。
48,1747,0.00173126311461843,1297,1297,S,Cutibacterium acnes,Cutibacterium acnes,Bacteria,G+,,丙酸杆菌属,痤疮丙酸杆菌,痤疮丙酸杆菌是一种革兰染色阳性的厌氧短杆菌，细胞内寄生，属于皮肤的正常菌群，一般寄居在皮肤的毛囊及皮脂腺中。随着青少年的发育成熟，毛囊口出现角栓，皮脂腺分泌功能也明显增加，因皮脂含有较多脂肪酸等成分，适合P. acnes的生长及繁殖，从而成为痤疮最主要的病因之一。
49,28037,0.00259622726132062,1945,1945,S,Streptococcus mitis,Streptococcus mitis,Bacteria,G+,,链球菌属,缓症链球菌,是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。
50,28901,0.000244272282170526,183,183,S,Salmonella enterica,Salmonella enterica,Bacteria,G-,,沙门氏菌属,肠沙门氏菌,一种杆状鞭毛虫兼性需氧革兰氏阴性细菌，它的一些血清是严重的人类病原体。大多数沙门氏菌病是由感染了肠溶链球菌的食物引起的，肠溶链球菌经常感染牛和家禽，尽管其他动物如家猫和仓鼠也被证明是人类感染的来源
51,29405,4.93883849197239E-05,37,37,S,Microlunatus phosphovorus,Microlunatus phosphovorus,Bacteria,G+,,小月菌属,积磷小月菌,革兰氏阳性，需氧，球菌.
52,29447,3.07008879230716E-05,23,23,S,Xanthomonas albilineans,Xanthomonas albilineans,Bacteria,G-,,黄单胞菌属,甘蔗鳞斑病黄单胞菌,植物病原菌
53,33011,6.27365970601898E-05,47,47,S,Cutibacterium granulosum,Cutibacterium granulosum,Bacteria,0,,0,,原为丙酸杆菌（Propionibacterium）属的颗粒丙酸杆菌（Propionibacterium granulosum），寄生于皮肤，具有机会致病性，可导致罕见的感染性心内膜炎，假体感染等。
54,34062,5.33928485618636E-05,40,40,S,Moraxella osloensis,Moraxella osloensis,Bacteria,G-,,莫拉菌属,奥斯陆莫拉菌,"是存在于人和动物黏膜上的正常菌群,为条件致病菌,很少致病,可引起肺炎、结膜炎、脑膜炎、脑脓肿、心内膜炎、心包炎等。"
55,36651,0.123134328358209,33,33,S,Penicillium digitatum,Penicillium digitatum,Eukaryota,fun,,青霉属,指状青霉菌,一种植物病原真菌，主要感染柑橘、苹果，通过局部调节柑橘、苹果的PH来增强其毒力，腐蚀果实时会导致其PH下降。
56,40214,2.9366066709025E-05,22,22,S,Acinetobacter johnsonii,Acinetobacter johnsonii,Bacteria,G-,,不动杆菌属,约翰逊不动杆菌,是不动杆菌属菌种，有机会致病性。
57,40324,0.000142825869902985,107,107,S,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Bacteria,G-,,寡养单胞菌属,嗜麦芽糖寡养单胞菌,嗜麦芽寡养单胞菌是重要的医源性感染菌。其中易感因素包括：体弱，免疫功能低下，外伤，插管，手术，移植，使用呼吸机等。寡养单胞菌属为条件致病菌，主要引起院内感染，最常见的是：呼吸道感染、尿道感染、伤口感染，也可引起脑膜炎、菌血症、医源性败血症、心内膜炎等。引起本菌定植和感染的危险因素有：机械通气、广谱抗生素的预防性应用、化疗、插管和中性粒细胞减少等。
58,40559,0.0746268656716418,20,20,S,Botrytis cinerea,Botrytis cinerea,Eukaryota,fun,,葡萄球菌属,灰葡萄孢菌,一种植物致病菌，无人类致病性报道，可侵染多钟植物的幼苗、果实。
59,43675,4.67187424916307E-05,35,35,S,Rothia mucilaginosa,Rothia mucilaginosa,Bacteria,G+,,罗氏菌属,黏液罗氏菌,黏液罗氏菌是存在于人口腔中的正常菌群，也是一种机会致病菌。已报道该菌导致脑膜炎、心内膜炎、肺炎、菌血症等。
60,45634,8.54285576989818E-05,64,64,S,Streptococcus cristatus,Streptococcus cristatus,Bacteria,G+,,链球菌属,嵴链球菌,嵴链链球菌是缓症链球菌群中一种，是人类口腔常见的正常菌群，主要分布于颊、腭粘膜。在集体免疫力低下时，可引起心内膜炎、前列腺炎等。
61,68892,0.000273638348879551,205,205,S,Streptococcus infantis,Streptococcus infantis,Bacteria,NA,,NA,NA,NA
62,71999,0.000160178545685591,120,120,S,Kocuria palustris,Kocuria palustris,Bacteria,G+,,考克氏菌属,沼泽考克氏菌,革兰氏阳性，有从乳糜泻患者十二指肠中分离出来。
63,76775,0.597014925373134,160,160,S,Malassezia restricta,Malassezia restricta,Eukaryota,fun,,马拉色菌属,限制性马拉色菌,在一些早产儿或免疫抑制人群中，厚皮马拉色菌以及一些嗜脂性的马拉色菌还可导致系统感染，如菌血症、间质性肺炎等。
64,76860,0.00643250343049052,4819,4819,S,Streptococcus constellatus,Streptococcus constellatus,Bacteria,G+,,链球菌属,星座链球菌,星座链球菌包括咽峡炎链球菌和中间链球菌。该菌广泛分布于外部环境及人和动物的体表，口鼻腔和肠道，可引起心内膜炎、肺炎、菌血症、腹腔或皮肤感染等。
65,80866,0.0001174642668361,88,88,S,Delftia acidovorans,Delftia acidovorans,Bacteria,0,,代尔夫特菌属,食酸戴尔福特菌,戴尔福特菌属菌种，是环境细菌，革兰阴性，需氧。具有很罕见的机会致病性，主要感染对象是住院或免疫功能低下患者，也可感染免疫功能正常者，可造成肺炎，尿路感染等。
66,82348,3.73749939933045E-05,28,28,S,Streptococcus pluranimalium,Streptococcus pluranimalium,Bacteria,NA,,NA,NA,NA
67,85698,9.47723061973079E-05,71,71,S,Achromobacter xylosoxidans,Achromobacter xylosoxidans,Bacteria,G-,,无色杆菌属,木糖氧化无色杆菌,"广泛存在于自然及医院环境中,是少见的社区和医院获得性病原菌,近年来逐渐被认为是肺囊性纤维化、免疫系统受损以及患有慢性基础疾病患者的常见致病菌,并可引起广泛的临床感染症状。"
68,113107,0.00010945533955182,82,82,S,Streptococcus australis,Streptococcus australis,Bacteria,G+,,链球菌属,澳大利亚链球菌,澳大利亚链球菌，是人类口腔正常寄居菌，可引起罕见的机会感染，如脑膜炎。
69,126673,3.87098152073511E-05,29,29,S,Mycolicibacterium doricum,Mycolicibacterium doricum,Bacteria,NA,,NA,NA,NA
70,147802,0.000157508903257498,118,118,S,Lactobacillus iners,Lactobacillus iners,Bacteria,NA,,NA,NA,NA
71,181762,0.100746268656716,27,27,S,Psilocybe cubensis,Psilocybe cubensis,Eukaryota,NA,,NA,NA,NA
72,257758,0.000561959731113615,421,421,S,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae,Bacteria,G+,,链球菌属,假肺炎链球菌,假肺炎链球菌与临床相关性尚未完全确定，目前仅发现该菌与慢性阻塞性肺疾病有关
73,260554,1.33482121404659E-05,10,10,S,Bacillus halotolerans,Bacillus halotolerans,Bacteria,NA,,NA,NA,NA
74,283734,2.53616030668852E-05,19,19,S,Staphylococcus pseudintermedius,Staphylococcus pseudintermedius,Bacteria,G+,,葡萄球菌属,伪中间葡萄球菌（凝固酶阳性）,伪中间葡萄球菌不会引起人类感染，但是当宠物如犬、猫等动物受伤或生病，或者宠物主人身体免疫功能低下时，可引发感染
75,319706,0.000153504439615358,115,115,S,Mycolicibacterium phocaicum,Mycolicibacterium phocaicum,Bacteria,NA,,NA,NA,NA
76,361101,3.73749939933045E-05,28,28,S,Streptococcus pseudoporcinus,Streptococcus pseudoporcinus,Bacteria,NA,,NA,NA,NA
77,376175,3.87098152073511E-05,29,29,S,Caldimonas aquatica,Schlegelella aquatica,Bacteria,NA,,NA,NA,NA
78,456999,0.104477611940299,28,28,S,Rhizoctonia solani,Rhizoctonia solani,Eukaryota,NA,,NA,NA,NA
79,477697,0.000110790160765867,83,83,S,Streptomyces sp. T12,Streptomyces sp. T12,Bacteria,NA,,NA,NA,NA
80,492670,5.73973122040034E-05,43,43,S,Bacillus velezensis,Bacillus velezensis,Bacteria,G+,,芽孢杆菌属,贝莱斯芽孢杆菌,0
81,563996,0.000258955315525039,194,194,S,Sphingomonas hankookensis,Sphingomonas hankookensis,Bacteria,NA,,NA,NA,NA
82,574650,8.40937364849352E-05,63,63,S,Micrococcus terreus,Micrococcus terreus,Bacteria,NA,,NA,NA,NA
83,684066,9.34374849832613E-05,70,70,S,Streptococcus lactarius,Streptococcus lactarius,Bacteria,NA,,NA,NA,NA
84,712623,8.67633789130284E-05,65,65,S,Streptococcus sp. oral taxon 061,Streptococcus sp. oral taxon 061,Bacteria,NA,,NA,NA,NA
85,712633,4.67187424916307E-05,35,35,S,Streptococcus sp. oral taxon 431,Streptococcus sp. oral taxon 431,Bacteria,G+,,链球菌属,链球菌属,0
86,1111760,1.86874969966523E-05,14,14,S,Streptococcus troglodytae,Streptococcus troglodytae,Bacteria,NA,,NA,NA,NA
87,1433513,0.000481870458270819,361,361,S,Streptococcus gwangjuense,Streptococcus gwangjuense,Bacteria,NA,,NA,NA,NA
88,1501662,2.80312454949784E-05,21,21,S,Streptococcus parasuis,Streptococcus parasuis,Bacteria,NA,,NA,NA,NA
89,1523415,0.000156174082043451,117,117,S,Sphingomonas sp. AAP5,Sphingomonas sp. AAP5,Bacteria,NA,,NA,NA,NA
90,1528099,6.54062394882829E-05,49,49,S,Lawsonella clevelandensis,Lawsonella clevelandensis,Bacteria,G+,,0,0,"从人类脓肿中分离出的革兰氏阳性,厌氧多形性细菌。"
91,1758194,2.9366066709025E-05,22,22,S,Achromobacter sp. AONIH1,Achromobacter sp. AONIH1,Bacteria,NA,,NA,NA,NA
92,1805478,4.27142788494909E-05,32,32,S,Olsenella timonensis,Olsenella timonensis,Bacteria,NA,,NA,NA,NA
93,1811193,4.27142788494909E-05,32,32,S,Streptococcus pantholopis,Streptococcus pantholopis,Bacteria,G+,,链球菌属,潘氏链球菌,潘氏链球菌，分离自藏羚羊粪便，无人类致病性报道。
94,1870984,5.33928485618636E-05,40,40,S,Anaerococcus mediterraneensis,Anaerococcus mediterraneensis,Bacteria,0,,厌氧球菌,0,0
95,1888195,7.20803455585159E-05,54,54,S,Streptococcus himalayensis,Streptococcus himalayensis,Bacteria,G+,,链球菌属,喜马拉雅链球菌,喜马拉雅链球菌无人类致病性报道。
96,1902136,7.87544516287488E-05,59,59,S,Streptococcus sp. NPS 308,Streptococcus sp. NPS 308,Bacteria,G+,,链球菌属,链球菌属,0
97,2017486,8.1424094056842E-05,61,61,S,Nocardioides sp. S5,Nocardioides sp. S5,Bacteria,NA,,NA,NA,NA
98,2021971,2.00223182106989E-05,15,15,S,Streptococcus respiraculi,Streptococcus respiraculi,Bacteria,NA,,NA,NA,NA
99,2173853,4.93883849197239E-05,37,37,S,Streptococcus chenjunshii,Streptococcus chenjunshii,Bacteria,NA,,NA,NA,NA
100,2282420,1.73526757826057E-05,13,13,S,Streptococcus hillyeri,Streptococcus hillyeri,Bacteria,NA,,NA,NA,NA
101,2559073,2.9366066709025E-05,22,22,S,Cutibacterium modestum,Cutibacterium modestum,Bacteria,NA,,NA,NA,NA
102,2576376,0.0001174642668361,88,88,S,Streptococcus sp. 1643,Streptococcus sp. 1643,Bacteria,NA,,NA,NA,NA
103,2583584,0.0001174642668361,88,88,S,Streptococcus sp. NCTC 11567,Streptococcus sp. NCTC 11567,Bacteria,NA,,NA,NA,NA
104,2598453,0.000401781185428024,301,301,S,Streptococcus sp. 116-D4,Streptococcus sp. 116-D4,Bacteria,NA,,NA,NA,NA
105,2610896,3.07008879230716E-05,23,23,S,Streptococcus sp. LPB0220,Streptococcus sp. LPB0220,Bacteria,NA,,NA,NA,NA
106,2759692,4.27142788494909E-05,32,32,S,Streptococcus sp. Marseille-Q3533,Streptococcus sp. Marseille-Q3533,Bacteria,NA,,NA,NA,NA
107,2760307,0.000106785697123727,80,80,S,Paracoccus sp. MC1862,Paracoccus sp. MC1862,Bacteria,NA,,NA,NA,NA
108,2763670,2.80312454949784E-05,21,21,S,Wujia chipingensis,Wujia chipingensis,Bacteria,NA,,NA,NA,NA
109,2781599,1.46830333545125E-05,11,11,S,Streptococcus oriscaviae,Streptococcus oriscaviae,Bacteria,NA,,NA,NA,NA
110,2819619,0.000303004415588576,227,227,S,Streptococcus toyakuensis,Streptococcus toyakuensis,Bacteria,NA,,NA,NA,NA
111,2972784,0.000224249963959827,168,168,S,Streptococcus sp. Marseille-Q6470,Streptococcus sp. Marseille-Q6470,Bacteria,NA,,NA,NA,NA
112,2975952,2.9366066709025E-05,22,22,S,Actinomycetospora sp. NBC_00405,Actinomycetospora sp. NBC_00405,Bacteria,NA,,NA,NA,NA
113,2984843,0.000146830333545125,110,110,S,Methylobacterium flocculans,Methylobacterium sp. FF17,Bacteria,NA,,NA,NA,NA
114,3020829,4.93883849197239E-05,37,37,S,Streptococcus sp. HN38,Streptococcus sp. HN38,Bacteria,NA,,NA,NA,NA
